100.771 4  3.068993 4.697132 -0.078054
100.814 4  3.072541 4.940871 -0.074852
100.923 4  3.068137 4.929278 -0.089417
100.966 4  3.079816 5.115851 -0.077698
100.966 4  3.070623 5.098104 -0.074331
101.014 4  3.066431 5.082991 -0.077341
101.064 4  3.074251 5.318415 -0.077542
101.108 4  3.082498 5.310048 -0.076896
101.177 4  3.072944 5.298483 -0.07891
101.225 4  3.073234 5.273517 -0.077778
101.265 4  3.076333 5.242718 -0.071937
101.384 4  3.057788 5.461675 -0.06862
101.451 4  3.074652 5.436816 -0.093812
101.455 4  3.047395 5.40257 -0.085746
101.456 4  3.064129 5.371368 -0.094138
101.505 4  3.05976 5.317124 -0.090024
101.552 4  3.041552 5.589488 -0.097138
101.612 4  3.067289 5.548573 -0.090624
101.674 4  3.062583 5.484219 -0.085122
101.705 4  3.069792 5.432665 -0.104047
101.778 4  3.064714 5.372809 -0.086874
101.876 4  3.075959 5.667527 -0.084938
101.929 4  3.050105 5.587112 -0.096401
101.966 4  3.067706 5.533424 -0.082954
102.010 4  3.063549 5.467334 -0.120237
102.057 4  3.064555 2.167089 -0.084153
102.123 4  3.065517 2.100327 -0.123421
102.210 4  3.04114 1.951317 -0.099182
102.271 4  3.077566 1.919027 -0.094616
102.375 4  3.048546 0.912102 -0.077222
102.377 4  3.066545 0.911316 -0.079345
102.453 4  3.056812 0.917201 -0.093936
102.454 4  3.060222 0.923014 -0.060149
102.545 4  3.064835 0.917385 -0.073359
102.547 4  3.068951 0.564357 -0.038286
102.606 4  3.070366 0.55131 -0.051717
102.690 4  3.063848 0.534649 -0.046027
102.702 4  3.060249 0.511361 -0.054144
102.760 4  3.067294 0.481054 -0.046262
102.870 4  3.061019 0.480141 -0.061422
102.871 4  3.051892 0.439281 -0.060136
102.923 4  3.065578 0.40046 -0.066732
102.955 4  3.06674 0.349064 -0.072954
103.008 4  3.057937 0.286101 -0.056479
103.056 4  3.062875 0.526499 -0.105319
103.112 4  3.048624 0.45448 -0.088659
103.164 4  3.077408 0.393594 -0.081168
103.211 4  3.059311 0.315135 -0.096415
103.280 4  3.040716 0.224899 -0.048401
103.333 4  3.084733 0.471695 -0.106499
103.374 4  3.07862 0.387521 -0.078591
103.457 4  3.072473 0.600954 -0.048477
103.459 4  3.075058 0.536015 -0.072965
103.504 4  3.07919 0.463613 -0.036451
103.552 4  3.066079 0.885247 -0.075645
103.626 4  3.080506 0.826199 -0.038589
103.663 4  3.086194 0.76957 -0.057704
103.694 4  3.081212 0.70587 -0.040888
103.771 4  3.093237 0.657554 -0.064454
103.810 4  3.088949 1.163498 -0.049744
103.864 4  3.084189 1.11202 -0.06581
103.923 4  3.080603 1.06585 -0.055438
103.953 4  3.093662 1.020635 -0.059349
104.001 4  3.110684 0.985074 -0.066146
104.045 4  3.091417 1.441842 -0.046692
104.117 4  3.091679 1.405888 -0.073841
104.194 4  3.097416 1.366878 -0.045713
104.195 4  3.10024 1.324598 -0.059461
104.252 4  3.095444 1.277763 -0.029889
104.375 4  3.11678 1.744004 -0.045931
104.378 4  3.100829 1.708426 -0.044755
104.438 4  3.108825 1.678675 -0.042586
104.453 4  3.126423 1.6469 -0.043471
104.506 4  3.099434 1.603052 -0.021018
104.553 4  3.105137 2.005922 -0.047116
104.612 4  3.111664 1.971935 -0.039551
104.664 4  3.110134 1.937648 -0.036232
104.693 4  3.107975 1.912416 -0.038482
104.752 4  3.104928 1.884561 -0.040961
104.804 4  3.102189 2.214109 -0.050152
104.868 4  3.098546 2.182855 -0.035735
104.964 4  3.11174 2.158859 -0.041441
104.966 4  3.115402 2.132 -0.037266
104.993 4  3.109097 2.108632 -0.044127
105.042 4  3.114993 2.29989 -0.03367
105.101 4  3.11761 2.401362 -0.036717
105.157 4  3.115042 2.374452 -0.047918
105.202 4  3.11752 2.346908 -0.038394
105.260 4  3.108713 2.314812 -0.058926
105.382 4  3.112028 2.4783 -0.055413
105.384 4  3.124804 2.566339 -0.055215
105.429 4  3.104148 2.519948 -0.057413
105.442 4  3.111865 2.482695 -0.067699
105.552 4  3.110734 2.439485 -0.058061
105.554 4  3.110096 2.611137 -0.073698
105.598 4  3.114145 2.707316 -0.0774
105.691 4  3.107562 2.659893 -0.078359
105.703 4  3.119588 2.622124 -0.091964
105.756 4  3.13011 2.578051 -0.076181
105.798 4  3.128731 2.776376 -0.111148
105.934 4  3.11857 2.725964 -0.095107
105.935 4  3.115562 2.911107 -0.120996
105.947 4  3.12503 2.864699 -0.10383
106.002 4  3.122914 2.811685 -0.115892
106.045 4  3.117437 2.966459 -0.099467
